opentime,Position,Symbol,Type,Volume,Price,S / L,T / P,closetime,Price,Commission,Swap,Profit,,
2023.02.24 19:20:53,69270962,EURUSD,buy,1.14, 1.05492, 1.05331, 1.05518,2023.02.24 19:22:21, 1.05518,0.00,0.00, 29.64,,
2023.02.24 19:22:38,69271380,EURUSD,buy,1.14, 1.05539, 1.05389, 1.05574,2023.02.24 19:33:16, 1.05574,0.00,0.00, 39.90,,
2023.02.24 21:29:53,69281987,USDCAD,buy,6.52, 1.36119, 1.36067, 1.36201,2023.02.24 21:30:33, 1.36087,0.00,0.00,- 153.31,,
2023.02.24 21:30:42,69282012,USDCAD,sell,6.52, 1.36091, 1.36173, 1.36040,2023.02.24 21:50:55, 1.36040,0.00,0.00, 244.43,,
2023.02.27 20:05:05,69351832,GBPJPY,buy,6.52, 164.171,,,2023.02.27 20:05:28, 164.141,0.00,0.00,- 143.64,,
2023.02.27 20:05:38,69351841,GBPJPY,buy,2.23, 164.166, 163.726, 164.294,2023.02.27 23:23:33, 164.294,0.00,0.00, 209.52,,
2023.02.27 20:08:10,69351897,EURGBP,buy,7.51, 0.87959, 0.87905, 0.88004,2023.02.28 00:00:27, 0.87863,0.00,- 49.16,- 869.46,,
2023.02.27 20:10:13,69351929,USDCAD,buy,22.13, 1.35709,,,2023.02.28 15:05:15, 1.35671,0.00,- 35.00,- 619.84,,
2023.02.28 15:07:20,69420989,USDCHF,buy,14.12, 0.93689, 0.93679, 0.93709,2023.02.28 15:27:36, 0.93678,0.00,0.00,- 165.80,,
2023.02.28 15:37:19,69423086,EURUSD,buy,4.59, 1.06202, 1.06122, 1.06242,2023.02.28 15:48:45, 1.06242,0.00,0.00, 183.60,,
2023.02.28 16:19:01,69426292,GBPJPY,sell,0.68, 165.647, 166.347, 164.247,2023.02.28 19:48:47, 164.246,0.00,0.00, 701.38,,
2023.03.01 16:56:10,69517519,GBPUSD,sell,16.2, 1.20150, 1.20439, 1.20120,2023.03.01 16:59:44, 1.20118,0.00,0.00, 518.40,,
2023.03.01 16:58:25,69517752,USDCHF,buy,2.06, 0.93806, 0.93585, 0.93896,2023.03.01 17:00:36, 0.93896,0.00,0.00, 197.45,,
2023.03.02 05:55:25,69542746,USDCAD,buy,2.06, 1.36106, 1.36012, 1.36216,2023.03.02 05:58:15, 1.36090,0.00,0.00,- 24.22,,
2023.03.02 05:58:25,69542772,USDCAD,buy,5.05, 1.36121, 1.36024, 1.36231,2023.03.02 09:09:03, 1.36022,0.00,0.00,- 367.55,,
2023.03.02 05:59:45,69542777,EURUSD,sell,9.79, 1.06449, 1.06749, 1.06399,2023.03.02 07:49:34, 1.06397,0.00,0.00, 509.08,,
